Frame,Time,PELO_X,PELO_Y,PELO_Z,PELP_X,PELP_Y,PELP_Z,LKJC_X,LKJC_Y,LKJC_Z,LHJC_X,LHJC_Y,LHJC_Z,LAJC_X,LAJC_Y,LAJC_Z,RHJC_X,RHJC_Y,RHJC_Z,RKJC_X,RKJC_Y,RKJC_Z,RAJC_X,RAJC_Y,RAJC_Z,LTOO_X,LTOO_Y,LTOO_Z,RTOO_X,RTOO_Y,RTOO_Z,TRXO_X,TRXO_Y,TRXO_Z,TRXP_X,TRXP_Y,TRXP_Z
29,0.29,209.285980224609,-1381.31726074219,967.445434570312,210.254806518555,-1345.77990722656,1097.95837402344,130.82080078125,-1265.92260742188,544.613464355469,141.692031860352,-1383.28576660156,968.689331054688,166.150848388672,-1242.18566894531,110.807167053223,276.8798828125,-1379.34826660156,966.201293945312,260.257263183594,-1524.72143554688,545.377807617188,253.357528686523,-1849.17346191406,300.466186523438,152.740158081055,-1088.36315917969,70.873649597168,267.663635253906,-1808.65124511719,143.42170715332,182.103591918945,-1255.54736328125,1504.68884277344,193.794311523438,-1277.27770996094,1339.5830078125
30,0.3,208.662261962891,-1355.92687988281,955.423706054688,210.562652587891,-1322.4833984375,1086.47863769531,132.35498046875,-1238.13256835938,535.574584960938,141.061111450195,-1357.35681152344,956.974060058594,169.695129394531,-1243.31384277344,105.535568237305,276.263366699219,-1354.49658203125,953.873107910156,262.904541015625,-1488.603515625,531.127197265625,255.358703613281,-1817.04528808594,301.116333007812,157.102005004883,-1088.30541992188,70.18408203125,274.93212890625,-1778.96105957031,144.029937744141,181.256561279297,-1230.20361328125,1492.55944824219,193.942520141602,-1252.333984375,1327.11560058594
31,0.31,208.069259643555,-1331.19763183594,944.427429199219,210.771179199219,-1299.32275390625,1075.85864257812,133.685958862305,-1212.20825195312,526.992431640625,140.466293334961,-1332.13586425781,946.249389648438,172.581832885742,-1244.34252929688,101.283958435059,275.672241210938,-1330.25891113281,942.605224609375,265.699188232422,-1451.81848144531,518.179870605469,257.256011962891,-1783.11901855469,300.90771484375,160.654281616211,-1088.49426269531,69.5829925537109,281.650909423828,-1746.69165039062,144.103240966797,180.694686889648,-1204.9990234375,1481.39270019531,194.169784545898,-1227.64099121094,1315.62048339844
32,0.32,207.502182006836,-1307.12634277344,934.446411132812,210.888107299805,-1276.30603027344,1066.11303710938,134.809036254883,-1188.16540527344,518.872863769531,139.901275634766,-1307.6201171875,936.504699707031,174.854415893555,-1245.10632324219,97.9622192382812,275.103057861328,-1306.63208007812,932.387878417969,268.628112792969,-1414.35205078125,506.542449951172,259.046264648438,-1747.38903808594,299.840606689453,163.444610595703,-1088.69213867188,68.9738616943359,287.826354980469,-1711.84497070312,143.578002929688,180.416763305664,-1179.93249511719,1471.20068359375,194.476226806641,-1203.1943359375,1305.10693359375
33,0.33,206.958129882812,-1283.69360351562,925.494934082031,210.919158935547,-1253.43395996094,1057.27563476562,135.716354370117,-1166.04077148438,511.2333984375,139.361862182617,-1283.79077148438,927.753173828125,176.57942199707,-1245.51281738281,95.4556274414062,274.554351806641,-1283.59594726562,923.236450195312,271.655731201172,-1376.17846679688,496.251007080078,260.723541259766,-1709.85864257812,297.910675048828,165.558929443359,-1088.7392578125,68.3168563842773,293.467132568359,-1674.4375,142.402191162109,180.420043945312,-1155.00378417969,1462.013671875,194.862640380859,-1178.98681640625,1295.60510253906
34,0.34,206.437408447266,-1260.8564453125,917.6162109375,210.867813110352,-1230.69775390625,1049.40502929688,136.398773193359,-1145.88220214844,504.108673095703,138.847076416016,-1260.60668945312,920.035339355469,177.82356262207,-1245.54663085938,93.6496276855469,274.027648925781,-1261.10583496094,915.196838378906,274.718536376953,-1337.2685546875,487.380584716797,262.27880859375,-1670.55053710938,295.113616943359,167.103042602539,-1088.56567382812,67.6118850708008,298.580718994141,-1634.50854492188,140.540634155273,180.699127197266,-1130.21142578125,1453.88537597656,195.330383300781,-1155.00402832031,1287.171875
35,0.35,205.943267822266,-1238.54248046875,910.881103515625,210.734085083008,-1208.076171875,1042.58654785156,136.849197387695,-1127.72131347656,497.5556640625,138.359024047852,-1237.99816894531,913.417785644531,178.640533447266,-1245.24523925781,92.4539184570312,273.527496337891,-1239.08654785156,908.344177246094,277.726959228516,-1297.60998535156,480.043975830078,263.700134277344,-1629.51953125,291.455535888672,168.188125610352,-1088.17016601562,66.8788375854492,303.171142578125,-1592.11840820312,137.986129760742,181.245269775391,-1105.54968261719,1446.89392089844,195.88151550293,-1131.22045898438,1279.89221191406
36,0.36,205.480255126953,-1216.64782714844,905.3798828125,210.513366699219,-1185.53442382812,1036.92492675781,137.065658569336,-1111.53833007812,491.658630371094,137.900924682617,-1215.865234375,907.984924316406,179.069458007812,-1244.66845703125,91.8190155029297,273.059509277344,-1217.43029785156,902.774658203125,280.575714111328,-1257.23657226562,474.381500244141,264.973236083984,-1586.86047363281,286.966400146484,168.920532226562,-1087.59033203125,66.1409606933594,307.234222412109,-1547.34948730469,134.773849487305,182.046524047852,-1081.00817871094,1441.13537597656,196.519088745117,-1107.59875488281,1273.8720703125
37,0.37,205.051696777344,-1195.041015625,901.209167480469,210.196594238281,-1163.0263671875,1032.53344726562,137.054046630859,-1097.23876953125,486.529724121094,137.475158691406,-1194.07946777344,903.826965332031,179.139678955078,-1243.86999511719,91.739990234375,272.628143310547,-1196.00256347656,898.591125488281,283.156707763672,-1216.25329589844,470.54248046875,266.079406738281,-1542.70275878906,281.705902099609,169.393218994141,-1086.87451171875,65.4100494384766,310.75732421875,-1500.3017578125,130.98860168457,183.088577270508,-1056.56872558594,1436.71179199219,197.247406005859,-1084.08605957031,1269.22399902344
38,0.38,204.657363891602,-1173.57043457031,898.456787109375,209.770324707031,-1140.49499511719,1029.51904296875,136.829940795898,-1084.64440917969,482.304534912109,137.080749511719,-1172.490234375,901.025756835938,178.87629699707,-1242.87268066406,92.2457275390625,272.233947753906,-1174.65014648438,895.887817382812,285.371124267578,-1174.84899902344,468.661712646484,266.993377685547,-1497.20056152344,275.758270263672,169.678787231445,-1086.05700683594,64.6751937866211,313.723937988281,-1451.09167480469,126.76197052002,184.355987548828,-1032.20593261719,1433.71643066406,198.072967529297,-1060.61889648438,1266.0498046875
39,0.39,204.292175292969,-1152.07336425781,897.188781738281,209.218780517578,-1117.87329101562,1027.96936035156,136.420532226562,-1073.50842285156,479.12841796875,136.712280273438,-1150.93334960938,899.642028808594,178.302276611328,-1241.65600585938,93.3802871704102,271.8720703125,-1153.21337890625,894.735229492188,287.139526367188,-1133.29675292969,468.833282470703,267.683746337891,-1450.51379394531,269.220062255859,169.826293945312,-1085.1474609375,63.8988075256348,316.120758056641,-1399.85021972656,122.261711120605,185.833297729492,-1007.88806152344,1432.2216796875,199.003143310547,-1037.12670898438,1264.4267578125
40,0.4,203.947128295898,-1130.39111328125,897.436584472656,208.526489257812,-1095.09020996094,1027.93676757812,135.864349365234,-1063.54528808594,477.139312744141,136.36083984375,-1129.24340820312,899.703796386719,177.437622070312,-1240.15185546875,95.1834945678711,271.533355712891,-1131.53881835938,895.169067382812,288.407989501953,-1091.93579101562,471.084136962891,268.117248535156,-1402.78784179688,262.181671142578,169.861572265625,-1084.12622070312,63.0199394226074,317.944213867188,-1346.7236328125,117.669456481934,187.505340576172,-983.578186035156,1432.2666015625,200.045440673828,-1013.5380859375,1264.39526367188
41,0.41,203.612335205078,-1108.37744140625,899.190673828125,207.681854248047,-1072.07104492188,1029.431640625,135.207946777344,-1054.4677734375,476.451110839844,136.01725769043,-1107.26440429688,901.198913574219,176.298217773438,-1238.25451660156,97.6788024902344,271.207336425781,-1109.49047851562,897.182189941406,289.151123046875,-1051.14721679688,475.352386474609,268.266815185547,-1354.13659667969,254.715438842773,169.790832519531,-1082.95434570312,61.9657745361328,319.197906494141,-1291.86962890625,113.157821655273,189.356582641602,-959.239196777344,1433.84985351562,201.204345703125,-989.788757324219,1265.95275878906
42,0.42,203.28044128418,-1085.90905761719,902.396484375,206.680816650391,-1048.74377441406,1032.41430664062,134.499099731445,-1046.01379394531,477.140228271484,135.675277709961,-1084.85949707031,904.071533203125,174.896789550781,-1235.83154296875,100.868385314941,270.885559082031,-1086.95825195312,900.721374511719,289.374053955078,-1011.32165527344,481.474243164062,268.119842529297,-1304.63195800781,246.875274658203,169.604446411133,-1081.58679199219,60.6630821228027,319.880249023438,-1235.45300292969,108.872245788574,191.369934082031,-934.836120605469,1436.92443847656,202.479507446289,-965.826293945312,1269.04943847656
43,0.43,202.950378417969,-1062.8916015625,906.95556640625,205.530288696289,-1025.04260253906,1036.794921875,133.778610229492,-1037.9619140625,479.237945556641,135.335189819336,-1061.91906738281,908.22265625,173.246200561523,-1232.73864746094,104.735618591309,270.565521240234,-1063.8642578125,905.688293457031,289.111541748047,-972.82666015625,489.186096191406,267.682098388672,-1254.30346679688,238.708358764648,169.279663085938,-1079.98681640625,59.0511856079102,319.967468261719,-1177.63684082031,104.924385070801,193.525344848633,-910.340637207031,1441.39733886719,203.863464355469,-941.614685058594,1273.59020996094
44,0.44,202.628631591797,-1039.26538085938,912.728515625,204.249389648438,-1000.91528320312,1042.43603515625,133.073944091797,-1030.134765625,482.728179931641,135.005142211914,-1038.36511230469,913.5146484375,171.364349365234,-1228.83422851562,109.250625610352,270.252075195312,-1040.16564941406,911.942138671875,288.426605224609,-935.977355957031,498.140167236328,266.976440429688,-1203.1474609375,230.273208618164,168.782669067383,-1078.138671875,57.0962562561035,319.403594970703,-1118.57556152344,101.398490905762,195.79833984375,-885.732849121094,1447.126953125,205.339324951172,-917.134521484375,1279.43151855469
45,0.45,202.329010009766,-1015.00476074219,919.541625976562,202.86994934082,-976.324829101562,1049.16052246094,132.396881103516,-1022.39025878906,487.55029296875,134.700698852539,-1014.154296875,919.777587890625,169.279251098633,-1223.99340820312,114.377754211426,269.957244873047,-1015.85516357422,919.305480957031,287.406860351562,-901.011840820312,507.932189941406,266.036285400391,-1151.14697265625,221.657821655273,168.071548461914,-1076.05407714844,54.8091773986816,318.100219726562,-1058.416015625,98.3695220947266,198.159729003906,-861.00244140625,1453.93115234375,206.880630493164,-892.381958007812,1286.38989257812
46,0.46,202.070190429688,-990.119079589844,927.194091796875,201.433929443359,-951.253967285156,1056.75695800781,131.746398925781,-1014.60955810547,493.604949951172,134.442398071289,-989.278747558594,926.817565917969,167.034164428711,-1218.12377929688,120.083473205566,269.697906494141,-990.95947265625,927.570617675781,286.157867431641,-868.070129394531,518.135070800781,264.895660400391,-1098.29956054688,212.990814208984,167.103393554688,-1073.77282714844,52.2704811096191,315.950103759766,-997.308227539062,95.927131652832,200.575546264648,-836.149658203125,1461.58959960938,208.451965332031,-867.3671875,1294.24389648438
47,0.47,201.871383666992,-964.649597167969,935.466369628906,199.989562988281,-925.706298828125,1064.99377441406,131.115188598633,-1006.67846679688,500.761199951172,134.251113891602,-963.764953613281,934.425537109375,164.691711425781,-1211.18237304688,126.343070983887,269.491577148438,-965.534240722656,936.506896972656,284.792907714844,-837.178833007812,528.332946777344,263.578857421875,-1044.64562988281,204.441818237305,165.846099853516,-1071.34826660156,49.6553840637207,312.849517822266,-935.430541992188,94.1960678100586,203.008178710938,-811.184387207031,1469.8544921875,210.011596679688,-842.111511230469,1302.74438476562
48,0.48,201.747695922852,-938.6650390625,944.126892089844,198.58642578125,-899.706665039062,1073.62487792969,130.497589111328,-998.470092773438,508.861480712891,134.143402099609,-937.670837402344,942.385131835938,162.335739135742,-1203.18811035156,133.14485168457,269.351989746094,-939.658996582031,945.868347167969,283.417999267578,-808.240661621094,538.15087890625,262.091003417969,-990.2900390625,196.209289550781,164.294952392578,-1068.8251953125,47.2455101013184,308.731567382812,-873.017150878906,93.3433685302734,205.418472290039,-786.124572753906,1478.46179199219,211.514862060547,-816.645935058594,1311.625
49,0.49,201.704986572266,-912.255554199219,952.941101074219,197.270645141602,-873.29931640625,1082.40234375,129.896469116211,-989.825927734375,517.724060058594,134.125930786133,-911.080688476562,950.480773925781,160.068145751953,-1194.22619628906,140.489181518555,269.284027099609,-913.430236816406,955.401550292969,282.115142822266,-781.034240722656,547.276611328125,260.411956787109,-935.40966796875,188.50341796875,162.490676879883,-1066.20141601562,45.4117469787598,303.601470947266,-810.386535644531,93.5637054443359,207.768157958984,-760.993469238281,1487.14367675781,212.918167114258,-791.007751464844,1320.61364746094
50,0.5,201.737091064453,-885.525817871094,961.678344726562,196.080444335938,-846.545959472656,1091.08483886719,129.32682800293,-980.542114257812,527.140380859375,134.192657470703,-884.09814453125,958.503601074219,157.998886108398,-1184.43859863281,148.381469726562,269.281433105469,-886.953247070312,964.852783203125,280.925842285156,-755.226989746094,555.473449707031,258.493255615234,-880.25390625,181.531219482422,160.527450561523,-1063.39770507812,44.5616226196289,297.569976806641,-747.95703125,95.0428085327148,210.022766113281,-735.817932128906,1495.64147949219,214.183654785156,-765.23974609375,1329.44616699219
51,0.51,201.824417114258,-858.586547851562,970.116638183594,195.043548583984,-819.522399902344,1099.44372558594,128.817123413086,-970.361694335938,536.870483398438,134.323196411133,-856.838195800781,966.257263183594,156.227523803711,-1174.00036621094,156.821258544922,269.325592041016,-860.334777832031,973.975769042969,279.84228515625,-730.402954101562,562.583557128906,256.261474609375,-825.146301269531,175.488830566406,158.537536621094,-1060.24926757812,45.0571441650391,290.869079589844,-686.2470703125,97.9067306518555,212.154006958008,-710.624450683594,1503.71740722656,215.2822265625,-739.38720703125,1337.87683105469
52,0.52,201.936477661133,-831.545837402344,978.049499511719,194.177017211914,-792.313415527344,1107.27038574219,128.408828735352,-958.983459472656,546.6376953125,134.485092163086,-829.417419433594,973.561218261719,154.821701049805,-1163.09338378906,165.793716430664,269.387847900391,-833.673950195312,982.537719726562,278.810485839844,-706.102661132812,568.525268554688,253.630752563477,-770.49462890625,170.553268432617,156.652618408203,-1056.541015625,47.138256072998,283.843444824219,-625.856140136719,102.167694091797,214.141510009766,-685.43896484375,1511.16577148438,216.195266723633,-713.496459960938,1345.69018554688
53,0.53,202.035781860352,-804.500610351562,985.289733886719,193.487152099609,-765.009033203125,1114.38195800781,128.154724121094,-946.087219238281,556.132263183594,134.637939453125,-801.945495605469,980.25341796875,153.79963684082,-1151.87976074219,175.264739990234,269.433624267578,-807.055603027344,990.326110839844,277.750793457031,-681.873046875,573.285583496094,250.527740478516,-716.806030273438,166.863128662109,154.957443237305,-1052.06420898438,50.8807716369629,276.912048339844,-567.436706542969,107.682525634766,215.973648071289,-660.283020019531,1517.81726074219,216.914886474609,-687.612060546875,1352.70458984375
54,0.54,202.083435058594,-777.530395507812,991.672668457031,192.971252441406,-737.698791503906,1120.62170410156,128.113845825195,-931.374816894531,565.025207519531,134.739242553711,-774.516845703125,986.191650390625,153.124374389648,-1140.4814453125,185.181030273438,269.427612304688,-780.543701171875,997.153686523438,276.590301513672,-657.320495605469,576.909973144531,246.92301940918,-664.685974121094,164.484130859375,153.460693359375,-1046.66687011719,56.2057647705078,270.510986328125,-511.657470703125,114.129539489746,217.647186279297,-635.173706054688,1523.54223632812,217.443588256836,-661.774536132812,1358.77746582031
55,0.55,202.044845581055,-750.691467285156,997.058532714844,192.618988037109,-710.466125488281,1125.86279296875,128.341415405273,-914.61181640625,572.993713378906,134.750579833984,-747.204956054688,991.25390625,152.708740234375,-1128.95886230469,195.469116210938,269.339019775391,-754.177978515625,1002.86291503906,275.296447753906,-632.164489746094,579.485595703125,242.854690551758,-614.810913085938,163.370101928711,152.090118408203,-1040.26831054688,62.919059753418,265.030120849609,-459.170379638672,121.015022277832,219.165863037109,-610.1220703125,1528.25061035156,217.791625976562,-636.017150878906,1363.80505371094
56,0.56,201.893798828125,-724.015869140625,1001.33374023438,192.413040161133,-683.384521484375,1130.00646972656,128.875350952148,-895.660095214844,579.749755859375,134.642303466797,-720.059143066406,995.338073730469,152.428482055664,-1117.29284667969,206.03385925293,269.145263671875,-727.972534179688,1007.32897949219,273.892608642578,-606.282531738281,581.119384765625,238.430633544922,-567.871154785156,163.337112426758,150.714691162109,-1032.84448242188,70.7511825561523,260.754028320312,-410.574829101562,127.711059570312,220.538482666016,-585.134582519531,1531.88354492188,217.975372314453,-610.366577148438,1367.71606445312
57,0.57,201.615478515625,-697.511047363281,1004.41119384766,192.330947875977,-656.512817382812,1132.98181152344,129.722885131836,-874.492065429688,585.064453125,134.396820068359,-693.105041503906,998.361267089844,152.139526367188,-1105.37438964844,216.754745483398,268.834136962891,-701.917114257812,1010.46099853516,272.441711425781,-579.728881835938,581.910522460938,233.807418823242,-524.498474121094,164.064514160156,149.17936706543,-1024.39770507812,79.3869094848633,257.815155029297,-366.382995605469,133.522644042969,221.77668762207,-560.212280273438,1534.41076660156,218.014038085938,-584.839111328125,1370.46948242188
58,0.58,201.207000732422,-671.164489746094,1006.23010253906,192.345016479492,-629.893493652344,1134.7431640625,130.851943969727,-851.180053710938,588.777587890625,134.009506225586,-666.347412109375,1000.25866699219,151.696304321289,-1093.00561523438,227.482971191406,268.404449462891,-675.981567382812,1012.20141601562,271.004943847656,-552.709228515625,581.928649902344,229.1572265625,-485.199890136719,165.126098632812,147.337585449219,-1014.92596435547,88.4849319458008,256.16357421875,-326.984069824219,137.774536132812,222.893081665039,-535.352722167969,1535.818359375,217.928482055664,-559.441711425781,1372.04431152344
59,0.59,200.67626953125,-644.949584960938,1006.75402832031,192.42333984375,-603.551696777344,1135.26684570312,132.189727783203,-825.869689941406,590.794189453125,133.48779296875,-639.776550292969,1000.98217773438,150.969024658203,-1079.92004394531,238.043701171875,267.864685058594,-650.122619628906,1012.52581787109,269.606048583984,-525.512268066406,581.201721191406,224.636749267578,-450.310150146484,166.045669555664,145.072174072266,-1004.39831542969,97.6955642700195,255.563888549805,-292.609252929688,139.899475097656,223.899200439453,-510.550323486328,1536.10485839844,217.737915039062,-534.171752929688,1372.43481445312
60,0.6,200.040466308594,-618.833312988281,1005.96893310547,192.530609130859,-577.496643066406,1134.54711914062,133.628570556641,-798.743774414062,591.071350097656,132.849334716797,-613.374572753906,1000.49877929688,149.857650756836,-1065.81286621094,248.243621826172,267.231536865234,-624.291809082031,1011.43896484375,268.229095458984,-498.432006835938,579.716979980469,220.367553710938,-419.975372314453,166.362930297852,142.302352905273,-992.744445800781,106.681587219238,255.626373291016,-263.304901123047,139.514114379883,224.80451965332,-485.798461914062,1535.2744140625,217.458847045898,-509.018524169922,1371.64465332031
61,0.61,199.32373046875,-592.783874511719,1003.88195800781,192.629745483398,-551.724365234375,1132.59387207031,135.036407470703,-769.99169921875,589.604064941406,132.119567871094,-587.123291015625,998.789978027344,148.301193237305,-1050.38110351562,257.885345458984,266.52783203125,-598.444213867188,1008.97344970703,266.846221923828,-471.716156005859,577.427673339844,216.427307128906,-394.170104980469,165.695419311523,138.982513427734,-979.854370117188,115.144226074219,255.869155883789,-238.92805480957,136.473266601562,225.615509033203,-461.088775634766,1533.33276367188,217.103591918945,-483.964447021484,1369.68176269531
62,0.62,198.554763793945,-566.778686523438,1000.51904296875,192.683883666992,-526.221862792969,1129.43041992188,136.268966674805,-739.78955078125,586.416442871094,131.329025268555,-561.010131835938,995.851379394531,146.280548095703,-1033.3583984375,266.785491943359,265.780517578125,-572.546997070312,1005.18676757812,265.447570800781,-445.543975830078,574.266357421875,212.847717285156,-372.735931396484,163.785903930664,135.099533081055,-965.58837890625,122.847709655762,255.801834106445,-219.167846679688,130.899993896484,226.335067749023,-436.412933349609,1530.28869628906,216.679214477539,-458.989715576172,1366.55920410156
63,0.63,197.765106201172,-540.810180664062,995.926330566406,192.658157348633,-500.972442626953,1125.09411621094,137.182281494141,-708.290832519531,581.559204101562,130.511260986328,-535.033569335938,991.693908691406,143.816207885742,-1014.53790283203,274.790222167969,265.018981933594,-546.586486816406,1000.15856933594,264.053436279297,-420.024139404297,570.162780761719,209.617370605469,-355.423858642578,160.532363891602,130.667083740234,-949.788024902344,129.633636474609,255.014266967773,-203.587753295898,123.187805175781,226.962387084961,-411.762298583984,1526.154296875,216.18766784668,-434.074798583984,1362.29418945312
64,0.64,196.986923217773,-514.890502929688,990.169372558594,192.522598266602,-475.960479736328,1119.63757324219,137.643646240234,-675.626525878906,575.114379882812,129.700576782227,-509.206787109375,986.347839355469,140.963088989258,-993.781860351562,281.787139892578,264.273284912109,-520.574035644531,993.990661621094,262.703430175781,-395.194641113281,565.067260742188,206.691192626953,-341.926452636719,155.999816894531,125.724403381348,-932.285278320312,135.425064086914,253.250839233398,-191.676193237305,113.967010498047,227.492691040039,-387.128234863281,1520.9521484375,215.625076293945,-409.205535888672,1356.91381835938
65,0.65,196.251892089844,-489.053955078125,983.336242675781,192.253799438477,-451.176483154297,1113.13134765625,137.542282104492,-641.907958984375,567.202392578125,128.930801391602,-483.559265136719,979.866333007812,137.80256652832,-971.013977050781,287.708068847656,263.572998046875,-494.548645019531,986.80615234375,261.431213378906,-371.028167724609,558.9736328125,204.007446289062,-331.894317626953,150.413772583008,120.334167480469,-912.90966796875,140.213470458984,250.452514648438,-182.893692016602,104.030860900879,227.917388916016,-362.502166748047,1514.72143554688,214.983551025391,-384.375549316406,1350.4619140625
66,0.66,195.590301513672,-463.357055664062,975.541931152344,191.837661743164,-426.620727539062,1105.671875,136.799942016602,-607.229431152344,557.991333007812,128.234420776367,-458.136627197266,972.332580566406,134.432830810547,-946.205261230469,292.526153564453,262.946105957031,-468.577362060547,978.751281738281,260.240753173828,-347.446929931641,551.936340332031,201.511291503906,-324.936126708984,144.134918212891,114.582969665527,-891.491271972656,144.039566040039,246.758865356445,-176.708953857422,94.224479675293,228.224136352539,-337.875793457031,1507.52575683594,214.252426147461,-359.58984375,1343.005859375
67,0.67,195.030090332031,-437.874328613281,966.93115234375,191.270782470703,-402.304046630859,1097.38464355469,135.381240844727,-571.670593261719,547.704345703125,127.641799926758,-432.997497558594,963.865661621094,130.958099365234,-919.353698730469,296.245788574219,262.418395996094,-442.751007080078,969.996459960938,259.099304199219,-324.355438232422,544.077819824219,199.178665161133,-320.606689453125,137.616409301758,108.579315185547,-867.866455078125,146.967071533203,242.470703125,-172.620071411133,85.3147048950195,228.397323608398,-313.240966796875,1499.462890625,213.420150756836,-334.864349365234,1334.64770507812
68,0.68,194.596176147461,-412.692230224609,957.68212890625,190.562057495117,-378.247222900391,1088.42907714844,133.301727294922,-535.295349121094,536.623657226562,127.180160522461,-408.207702636719,954.626342773438,127.477989196777,-890.468322753906,298.891448974609,262.012115478516,-417.176635742188,960.73779296875,257.956665039062,-301.683166503906,535.584899902344,197.031967163086,-318.386901855469,131.344329833984,102.450981140137,-841.883605957031,149.061340332031,237.9873046875,-170.156997680664,77.8630447387695,228.418487548828,-288.590454101562,1490.66784667969,212.476898193359,-310.225952148438,1325.52722167969
69,0.69,194.30827331543,-387.899017333984,948.009094238281,189.732635498047,-354.476928710938,1079.00329589844,130.630996704102,-498.150634765625,525.089538574219,126.87190246582,-383.832244873047,944.821166992188,124.079002380371,-859.559387207031,300.498382568359,261.744598388672,-391.965667724609,951.196716308594,256.781372070312,-279.425415039062,526.697692871094,195.135757446289,-317.677917480469,125.766578674316,96.3405990600586,-813.411926269531,150.375503540039,233.730682373047,-168.868865966797,72.1382675170898,228.267639160156,-263.917846679688,1481.31909179688,211.418563842773,-285.708435058594,1315.83032226562
